,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2023-10-24,28-247,DEN,,LAL,W (+12),1,36:16,12,22,.545,3,5,.600,2,4,.500,3,10,13,11,1,1,2,2,29,29.3,+15
1,2,2023-10-27,28-250,DEN,@,MEM,W (+4),1,34:58,8,14,.571,1,4,.250,5,6,.833,3,9,12,7,1,1,9,1,22,17.0,+6
2,3,2023-10-29,28-252,DEN,@,OKC,W (+33),1,29:52,12,16,.750,1,2,.500,3,3,1.000,2,12,14,5,0,0,4,3,28,24.9,+21
3,4,2023-10-30,28-253,DEN,,UTA,W (+8),1,35:14,12,16,.750,1,3,.333,2,5,.400,1,9,10,11,0,2,1,3,27,29.7,+13
4,5,2023-11-01,28-255,DEN,@,MIN,L (-21),1,29:58,11,23,.478,1,6,.167,2,2,1.000,2,8,10,3,0,0,5,0,25,14.2,-19
5,6,2023-11-03,28-257,DEN,,DAL,W (+11),1,35:35,14,16,.875,2,2,1.000,3,5,.600,7,7,14,9,1,1,4,3,33,36.4,+17
6,7,2023-11-04,28-258,DEN,,CHI,W (+22),1,33:21,9,16,.563,1,3,.333,9,9,1.000,4,12,16,9,3,0,1,3,28,33.9,+33
7,8,2023-11-06,28-260,DEN,,NOP,W (+18),1,36:22,15,24,.625,2,6,.333,3,5,.600,3,11,14,12,1,1,2,1,35,36.5,+16
8,9,2023-11-08,28-262,DEN,,GSW,W (+3),1,36:36,14,25,.560,1,8,.125,6,10,.600,3,10,13,5,3,1,3,3,35,29.6,+3
9,10,2023-11-12,28-266,DEN,@,HOU,L (-3),1,38:14,13,26,.500,2,6,.333,8,8,1.000,6,15,21,11,0,1,3,3,36,35.9,+12
10,11,2023-11-14,28-268,DEN,,LAC,W (+3),1,35:45,8,23,.348,2,7,.286,14,14,1.000,3,13,16,9,1,0,4,2,32,27.6,+3
11,12,2023-11-17,28-271,DEN,@,NOP,L (-5),1,36:10,10,20,.500,1,8,.125,5,5,1.000,2,14,16,18,1,1,4,2,26,31.1,+5
12,13,2023-11-19,28-273,DEN,@,CLE,L (-12),1,27:49,8,13,.615,0,0,,2,5,.400,1,9,10,7,1,1,3,5,18,15.9,-16
